country,countryLabel
http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q858,Syria
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe
http://www.wikidata.org/entity/Q863,Tajikistan
http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q869,Thailand
http://www.wikidata.org/entity/Q778,The Bahamas
http://www.wikidata.org/entity/Q1005,The Gambia
http://www.wikidata.org/entity/Q574,Timor-Leste
http://www.wikidata.org/entity/Q945,Togo
http://www.wikidata.org/entity/Q678,Tonga
http://www.wikidata.org/entity/Q754,Trinidad and Tobago
http://www.wikidata.org/entity/Q948,Tunisia
http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q874,Turkmenistan
http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q212,Ukraine
http://www.wikidata.org/entity/Q878,United Arab Emirates
http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q77,Uruguay
http://www.wikidata.org/entity/Q265,Uzbekistan
http://www.wikidata.org/entity/Q686,Vanuatu
http://www.wikidata.org/entity/Q717,Venezuela
http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q805,Yemen
http://www.wikidata.org/entity/Q953,Zambia
http://www.wikidata.org/entity/Q954,Zimbabwe
