"library website","base url",type,"type 2",country,name,available,wildcards,funding,size,"total collection",books,Articles,Journals,gov-docs,dissertations,archival-manuscripts,newspaper-articles,magazines,"subset of","duplicate of",original,"bulk data","api endpoint","api endpoint 2","api 3",protocol,"AI Notes 1","AI Notes 2"
https://national-gallery.primo.exlibrisgroup.com,https://nga.gov.au/,national,archive,Australia,"National Gallery of Australia Research Library and Archives",—,no,"Australian Government (National Gallery of Australia)",small,"~260,000 items",—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: >260,000 items; >100,000 ephemera files; >600 linear metres of archives. No public Z39.50/API found."
https://lant.nt.gov.au/,https://nt.gov.au/,state,library,Australia,"Library & Archives NT",—,no,"Northern Territory Government",small,"108,000 books","108,000",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 108,000 books, 30,000 other items. No Z39.50/API found."
https://researchdata.edu.au/,https://researchdata.edu.au/,national,archive,Australia,"Research Data Australia",yes,yes,"Australian Research Data Commons (ARDC)",large,—,—,—,—,—,—,—,—,—,—,—,—,yes,https://researchdata.edu.au/api/v2.0/registry/activities?api_key={apiKey}&{params},http://researchdata.edu.au/registry/services/{API_KEY}/getMetadata?{params},https://researchdata.edu.au/api/registry/oai,"web api",—,"ARDC metadata registry. Provides REST APIs for accessing research data descriptions."
https://researchers.mq.edu.au/en/datasets/,https://researchers.mq.edu.au/en/datasets/,academic,datasets,Australia,"Macquarie University",—,—,"Macquarie University (public university)",medium,"1,800,000+",—,—,—,—,—,—,—,—,—,—,—,yes,"mq.alma.exlibrisgroup.com : 1921",—,—,z39.50,—,"Z39.50 via Alma. Collection: over 1.8 million items."
https://sydneycorpuslab.com/,https://sydneycorpuslab.com/,"research lab",datasets,Australia,"Sydney Corpus Lab",—,—,"University of Sydney (via LDaCA / ARDC)",small,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Research lab focused on corpus linguistics. Hosts corpora such as Sydney Speaks, Macquarie Laws of War Corpus. Part of Language Data Commons of Australia (LDaCA). No public API identified."
https://trove.nla.gov.au/about-australian-national-bibliographic-database-anbd,https://trove.nla.gov.au/,national,"bibliographic database",Australia,"Australian National Bibliographic Database",—,—,"Australia Government (national)",huge,—,—,—,—,—,—,—,—,—,trove,trove,no,—,https://api.trove.nla.gov.au/v3/,https://api.trove.nla.gov.au/v3/trove-api-v3.yaml,https://api.trove.nla.gov.au/v3/,api,—,"Part of Trove. National bibliographic database. API available via Trove v3."
https://trove.nla.gov.au/about-australian-national-bibliographic-database-anbd,https://trove.nla.gov.au/,national,"web archive",Australia,TROVE,—,—,"Australia Government (national)",huge,—,—,—,—,—,—,—,"20,000,000",—,—,—,—,—,https://api.trove.nla.gov.au/v3/,https://api.trove.nla.gov.au/v3/trove-api-v3.yaml,https://api.trove.nla.gov.au/v3/,api,—,"Trove is the National Library of Australia's discovery platform. Includes newspapers, books, images, maps, music, archives, and websites. API v3 available."
https://www.acu.edu.au/library,https://www.acu.edu.au/,academic,library,Australia,"Australian Catholic University Library",—,—,"Australian Catholic University (public university)",small,—,"35,000+",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection includes ~35,000 books plus periodicals, eBooks, eJournals. Also special collections (Nolan, Culican, Aquinas). No Z39.50/API found."
https://www.ala.org.au/,https://www.ala.org.au/,national,database,Australia,"Atlas of Living Australia",yes,yes,"Australian Government (NCRIS) via CSIRO",huge,"~100 million species occurrence records; 153,000+ species",—,—,—,—,—,—,—,—,—,—,—,no,"https://api.ala.org.au (docs.ala.org.au)",—,—,"rest api",—,"National biodiversity database. Aggregates Australian biodiversity data. Provides REST APIs (JSON, XML, CSV, WMS)."
https://anulib.anu.edu.au/,https://www.anu.edu.au/,academic,library,Australia,"Australian National University Library",yes,yes,"Australian National University (public university)",huge,"661,137,142","4,574,917","150,365,425","1,235,975","2,340,298","4,324,434","517,902","359,957,423","34,233,290",—,—,—,yes,"http://anulib.anu.edu.au : 80",—,—,z39.50,—,"Collection: over 1.5 million books, 62 km of shelving. Z39.50 via ANU Library."
https://archives.anu.edu.au/,https://www.anu.edu.au/,academic,archive,Australia,"Australian National University Library",—,—,"Australian National University (public university)",huge,—,—,—,—,—,—,269727,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Archives component of ANU Library. Holds 269,727 archival-manuscript items (from CSV). No separate API identified."
https://parlinfo.aph.gov.au,https://www.aph.gov.au/,national,archive,Australia,"Parliament of Australia",yes,yes,"Australia Government (national)",large,"not publicly available",—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Parliamentary information system. Provides access to Hansard, bills, committees, etc. API access via OpenAustralia.org and other third-party tools. No official public API documented."
https://www.austlii.edu.au/,https://www.austlii.edu.au/,Legal,database,Australia,"AustLII Australasian Legal Information Institute",yes,—,"Government / legal body",large,"not publicly available",—,—,—,—,—,—,—,—,—,—,—,yes,—,—,—,"rest api (sino cgi)",—,"Free online database of Australian legal information. Provides SINO CGI API for searching case law and legislation."
https://www.austlit.edu.au/austlit/page/5961938,https://www.austlit.edu.au/,national,—,Australia,AustLit,—,—,"Australia Government (national)",small,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Bio-bibliographical database of Australian literature. Over 1 million works, 200,000+ authors. No public API identified."
https://library.avondale.edu.au/,https://www.avondale.edu.au/,academic,library,Australia,"Avondale University Library",—,—,"Avondale University (public university)",small,—,"140,000+",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: >140,000 print items plus online resources. No Z39.50/API found."
https://www.bbi.catholic.edu.au/resources/library/about-the-library/,https://www.bbi.catholic.edu.au/,religious,library,Australia,"BBI-The Australian Institute of Theological Education",yes,yes,"Religious organisation (private)",medium,"224,866,263","4,115,426","113,591,209","1,366,584","1,154,487","4,353,724",—,—,"23,710,847",—,—,—,yes,"203.92.7.86 : 210",—,—,z39.50,—,"Theological library. Z39.50 access available."
https://www.bom.gov.au/library/,https://www.bom.gov.au/,national,library,Australia,"National Meteorological Library",—,—,"Australia Government (national)",small,"not publicly available",—,—,—,—,—,—,—,—,Trove,Trove,—,no,"not publicly available",—,—,"not publicly available",—,"Specialised collection of meteorological books, reports, journals. Part of Trove. No independent API."
https://www.canberra.edu.au/library,https://www.canberra.edu.au/,academic,library,Australia,"University of Canberra Library",—,—,"University of Canberra (public university)",medium,—,—,—,—,—,—,—,—,—,—,—,—,yes,unknown,—,—,—,—,"Collection: extensive print and electronic. Z39.50 contact details available via NLA Gateway."
https://www.cdu.edu.au/library,https://www.cdu.edu.au/,academic,library,Australia,"Charles Darwin University Library",—,—,"Charles Darwin University (public university)",small,"300,000+ items","300,000+",—,"17,000",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 300,000+ items, 17,000+ journals. No Z39.50/API found."
https://library.cqu.edu.au/,https://www.cqu.edu.au/,academic,library,Australia,"CQUniversity Library",—,—,"CQUniversity (public university)",small,"331,447 volumes","330,000+",—,"46,000",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 331,447 volumes, 46,000 electronic journals. No Z39.50/API found."
https://www.csu.edu.au/division/library,https://www.csu.edu.au/,academic,library,Australia,"Charles Sturt University Library",—,—,"Charles Sturt University (public university)",small,—,"500,000+",—,"10,000+",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: over half a million books, 10,000+ current serials. No Z39.50/API found."
https://library.curtin.edu.au/,https://www.curtin.edu.au/,academic,library,Australia,"Curtin University Library",—,—,"Curtin University (public university)",medium,—,—,—,—,—,—,—,—,—,—,—,—,yes,"espace.library.curtin.edu.au : 9882",—,—,z39.50,—,"Z39.50 access available."
https://www.deakin.edu.au/library,https://www.deakin.edu.au/,academic,library,Australia,"Deakin University Library",—,—,"Deakin University (public university)",medium,—,"1,256,000",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 1.25 million volumes. Online: 1.88 million resources, physical: 640,000. No Z39.50/API found."
https://www.divinity.edu.au/library/,https://www.divinity.edu.au/,academic,library,Australia,"University of Divinity Library",—,—,"University of Divinity (public university)",small,"100,000 volumes","100,000",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 100,000 volumes (Catholic Theological College). Other collections: 143,000+ monographs. No Z39.50/API found."
https://www.ecu.edu.au/library,https://www.ecu.edu.au/,academic,library,Australia,"Edith Cowan University Library",—,—,"Edith Cowan University (public university)",small,—,—,—,"15,000",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: ~15,000 journal titles. No Z39.50/API found."
https://courts.sdp.sirsidynix.net.au/client/en_AU/FederalCourt,https://www.fedcourt.gov.au/,legal,library,Australia,"Federal Court of Australia",yes,—,"Government / legal body",small,—,—,—,—,—,—,—,—,—,—,—,—,yes,"fcal.sirsidynix.net.au : 3614",—,—,z39.50,—,"Digital Law Library. Z39.50 access via SirsiDynix."
https://www.flinders.edu.au/library,https://www.flinders.edu.au/,academic,library,Australia,"Flinders University Library",—,—,"Flinders University (public university)",medium,—,—,—,—,—,—,—,—,—,—,—,—,—,"flinders.alma.exlibrisgroup.com : 1921",—,—,z39.50,—,"Z39.50 via Alma."
https://www.griffith.edu.au/library,https://www.griffith.edu.au/,academic,library,Australia,"Griffith University Library",—,—,"Griffith University (public university)",small,—,—,—,—,—,—,—,—,—,—,—,—,—,"zcat.oclc.org : 210",—,—,z39.50,—,"Z39.50 via OCLC."
https://www.jcu.edu.au/library,https://www.jcu.edu.au/,academic,library,Australia,"James Cook University Library",—,—,"James Cook University (public university)",small,—,—,—,—,—,—,—,—,—,—,—,—,—,"hip.jcu.edu.au : 210",—,—,z39.50,—,"Z39.50 via Horizon."
https://www.latrobe.edu.au/library,https://www.latrobe.edu.au/,academic,library,Australia,"La Trobe University Library",—,—,"La Trobe University (public university)",small,—,"1,000,000+",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: over 1 million books. No Z39.50/API found."
https://webarchive.nla.gov.au/collection?q=,https://www.library.gov.au/,national,"web archive",Australia,"Australian Web Archive",—,—,"Australia Government (national)",medium,—,—,—,—,—,—,—,—,—,trove,trove,no,no,"not publicly available",—,—,"not publicly available",—,"Part of Trove. Contains 600+ terabytes, 9 billion records. Includes PANDORA, Australian Government Web Archive, Domain Harvest. No separate API."
https://www.library.gov.au/,https://www.library.gov.au/,national,library,Australia,"National Library of Australia",—,yes,"Australia Government (national)",huge,"~10 million items",—,—,—,—,—,—,—,—,—,—,—,no,—,—,—,—,—,"Collection: ~10 million items. Trove provides API access."
https://pandora.nla.gov.au/,https://www.library.gov.au/,national,"web archive",Australia,"Pandora archive",—,yes,"Australia Government (national)",medium,—,—,—,—,—,—,—,—,—,trove,trove,no,no,"not publicly available",—,—,"not publicly available",—,"Selective web archive. 79,827 titles, 110.11 TB data. Part of Trove. No separate API."
https://www.monash.edu/library,https://www.monash.edu/,academic,library,Australia,"Monash University Library",—,—,"Monash University (public university)",large,—,—,—,—,—,—,—,—,—,—,—,—,—,"ap01.alma.exlibrisgroup.com:1921/61MONASH_AU : 1921","ap01.alma.exlibrisgroup.com:1921/61MONASH_AU : 1921",—,z39.50,—,"Z39.50 via Alma."
https://www.mq.edu.au/about/campus-services-and-facilities/library,https://www.mq.edu.au/,academic,library,Australia,"Macquarie University Library",—,—,"Macquarie University (public university)",medium,—,"1,800,000",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: over 1.8 million items. No Z39.50/API found (but Z39.50 contact exists)."
https://www.murdoch.edu.au/library,https://www.murdoch.edu.au/,academic,library,Australia,"Murdoch University Library",—,—,"Murdoch University (public university)",medium,—,—,—,—,—,—,—,—,—,—,—,—,—,"prospero.murdoch.edu.au : 210",—,—,z39.50,—,"Z39.50 via Prospero."
https://www.nd.edu.au/library,https://www.nd.edu.au/,academic,library,Australia,"University of Notre Dame Australia Library",—,—,"University of Notre Dame Australia (public university)",small,—,—,—,—,—,—,—,—,—,—,—,—,—,"203.19.80.215 : 5000",—,—,z39.50,—,"Z39.50 available."
https://www.newcastle.edu.au/library,https://www.newcastle.edu.au/,academic,library,Australia,"University of Newcastle Library",—,—,"University of Newcastle (public university)",small,—,"700,000",—,"56,000",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 0.7M print books, 0.9M e-books, 56,000 e-journals. No Z39.50/API found."
https://library.qut.edu.au/,https://www.qut.edu.au/,academic,library,Australia,"Queensland University of Technology Library",—,—,"Queensland University of Technology (public university)",small,—,"1,000,000+",—,"65,340",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: over 1 million items. 913,069 ebooks, 223,313 print books, 65,340 ejournals. No Z39.50/API found."
https://www.rmit.edu.au/library,https://www.rmit.edu.au/,academic,library,Australia,"RMIT University Library",—,—,"RMIT University (public university)",small,—,"600,000+",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Swanston Library: 600,000+ volumes. No Z39.50/API found."
https://www.sl.nsw.gov.au/,https://www.sa.gov.au/,state,library,Australia,"State Library of New South Wales",—,yes,"Australia state government",medium,"3,343,072","2,300,000","244,200","244,200","68,100",—,6000,"11,300","244,200",—,—,—,no,—,—,—,—,—,"Collection: over 5 million items. 2 million books, 1.1 million photographs. No public Z39.50/API found."
https://www.catalog.slsa.sa.gov.au/,https://www.sa.gov.au/,state,library,Australia,"State Library of South Australia",—,yes,"Australia state government",medium,"~1 million+ items",—,—,—,—,—,—,"308,000,000",—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 4 million volumes. No public Z39.50/API found."
https://www.scu.edu.au/library/,https://www.scu.edu.au/,academic,library,Australia,"Southern Cross University Library",—,—,"Southern Cross University (public university)",small,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 150+ databases, 8,000+ e-publications. No Z39.50/API found."
https://www.swinburne.edu.au/library/,https://www.swinburne.edu.au/,academic,library,Australia,"Swinburne University of Technology Library",—,—,"Swinburne University of Technology (public university)",medium,—,—,—,—,—,—,—,—,—,—,—,—,yes,"ap01.alma.exlibrisgroup.com : 1921",—,—,z39.50,—,"Z39.50 via Alma."
https://www.library.sydney.edu.au/,https://www.sydney.edu.au/,academic,library,Australia,"University of Sydney Library",—,—,"University of Sydney (public university)",large,—,"5,100,000",—,"70,000",—,—,—,—,—,—,—,—,yes,"129.78.139.7 : 210",—,—,z39.50,—,"Largest academic library in Southern Hemisphere. Collection: 5.1 million print items, 70,000 e-journals. Z39.50 via Fisher Library."
https://library.torrens.edu.au/,https://www.torrens.edu.au/,academic,library,Australia,"Torrens University Australia Library",—,—,"Torrens University Australia (public university)",small,"10,000 volumes","10,000",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 10,000 volumes. No Z39.50/API found."
https://www.une.edu.au/library,https://www.une.edu.au/,academic,library,Australia,"University of New England Library",—,—,"University of New England (public university)",small,—,"1,000,000+",—,—,—,—,—,—,—,—,—,—,yes,"ap01.alma.exlibrisgroup.com : 1921",—,—,z39.50,—,"Collection: over 1 million print books. Z39.50 via Alma."
https://librarysearch.unimelb.edu.au,https://www.unimelb.edu.au/,academic,library,Australia,"University of Melbourne",—,yes,"University of Melbourne (public university)",medium,—,"1,767,806","229,253,720",—,—,—,—,"154,650,372",—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 3.5 million physical items, 180,000 e-journals, 2.5 million e-books. No Z39.50/API found."
https://www.unisa.edu.au/library/,https://www.unisa.edu.au/,academic,library,Australia,"University of South Australia Library",—,—,"University of South Australia (public university)",medium,—,—,—,—,—,—,—,—,—,—,—,—,yes,"ap01.alma.exlibrisgroup.com : 1921",—,—,z39.50,—,"Z39.50 via Alma."
https://www.unisc.edu.au/library,https://www.unisc.edu.au/,academic,library,Australia,"University of the Sunshine Coast Library",—,—,"University of the Sunshine Coast (public university)",small,"120,000 volumes","120,000",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 120,000 volumes. No Z39.50/API found."
https://www.unisq.edu.au/library,https://www.unisq.edu.au/,academic,library,Australia,"University of Southern Queensland Library",—,—,"University of Southern Queensland (public university)",small,"300,000+ books","300,000+",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 300,000+ books (Toowoomba campus). No Z39.50/API found."
https://www.library.unsw.edu.au/,https://www.unsw.edu.au/,academic,library,Australia,"University of New South Wales Library",yes,yes,"University of New South Wales (public university)",large,"170,089,503","1,627,991","136,634,786",—,"31,414","139,587","192,950","3,865,110","20,071,024",—,—,—,yes,"libadfa.adfa.edu.au : 7090",—,—,z39.50,—,"Collection: 2 million books. Z39.50 via UNSW Library."
https://www.uow.edu.au/library/,https://www.uow.edu.au/,academic,library,Australia,"University of Wollongong Library",—,—,"University of Wollongong (public university)",small,—,—,—,—,—,—,—,—,—,—,—,—,yes,"woll.iii.com : 210",—,—,z39.50,—,"Z39.50 via Innopac."
https://web.library.uq.edu.au/,https://www.uq.edu.au/,academic,library,Australia,"University of Queensland Library",—,—,"A$43,474,125",medium,—,"2,360,000",—,"194,870",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 2.36 million books, 194,870 journals. Budget: A$43.47M (2014). No Z39.50/API found."
https://www.utas.edu.au/library,https://www.utas.edu.au/,academic,library,Australia,"University of Tasmania Library",—,—,"University of Tasmania (public university)",small,"500,000 volumes",—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: ~500,000 volumes. No Z39.50/API found."
https://www.uts.edu.au/library,https://www.uts.edu.au/,academic,library,Australia,"University of Technology Sydney Library",—,—,"University of Technology Sydney (public university)",small,—,—,—,"46,000",—,—,—,—,—,—,—,—,yes,"linus.lib.uts.edu.au : 210",—,—,z39.50,—,"Collection: 46,000+ full-text e-journals. Z39.50 via Innopac."
https://www.uwa.edu.au/library,https://www.uwa.edu.au/,academic,library,Australia,"University of Western Australia Library",—,—,"University of Western Australia (public university)",small,"850,000+ books","850,000",—,"480,000",—,—,"230,000",—,—,—,—,—,yes,"ap02.alma.exlibrisgroup.com : 1921",—,—,z39.50,—,"Collection: 850,000+ books, 480,000 periodicals, 230,000 manuscripts. Z39.50 via Alma."
https://www.slv.vic.gov.au/,https://www.vic.gov.au/,state,library,Australia,"State Library Victoria",—,no,"Australia state government",large,"~4.5-5.5 million items","2,000,000",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: over 4.5 million items. Over 2 million books. No public Z39.50/API found."
https://www.vu.edu.au/library,https://www.vu.edu.au/,academic,library,Australia,"Victoria University Library",—,—,"Victoria University (public university)",small,—,"1,000,000",—,—,—,—,—,—,—,—,—,—,yes,"library.vu.edu.au : 210",—,—,z39.50,—,"Collection: over 1 million items. Z39.50 via VU Library."
https://slwa.wa.gov.au/,https://www.wa.gov.au/,state,library,Australia,"State Library of Western Australia",—,yes,"Australia state government",medium,"1.5 million items","965,386",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 1.5 million items, 300,000+ books, 5,000 serial titles. No public Z39.50/API found."
https://www.westernsydney.edu.au/library,https://www.westernsydney.edu.au/,academic,library,Australia,"Western Sydney University Library",—,—,"Western Sydney University (public university)",small,—,"833,971",—,"228,348",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 833,971 print books, 228,348 journals, 1.3M+ ebooks. No Z39.50/API found."
https://www.archives.act.gov.au/,—,state,—,Australia,ArchivesACT,—,—,"Australia state government",small,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Provides access to ACT Government records older than 20 years. Not a collecting agency. No API found."
https://www.archives.qld.gov.au/,—,state,—,Australia,"Queensland State Archives",—,—,"Australia state government",large,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 3.5+ million records, 70 linear km. No API found."
https://www.sro.wa.gov.au/,—,state,—,Australia,"State Records Office of Western Australia",—,—,"Australia state government",medium,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: over 2 million documents, 15 linear km of permanent records. No API found."
https://www.austin.org.au/library/,—,—,—,Australia,"Austin Health",—,—,—,small,—,—,—,—,—,—,—,—,—,—,—,—,—,"zcat.oclc.org : 210",—,—,z39.50,—,"Health library. Z39.50 via OCLC."
https://data.csiro.au/,—,national,—,Australia,"Australia's National Science Agency.",—,—,"Australia Government (national)",small,—,—,—,—,—,—,—,—,—,—,—,—,yes,"voyager.its.csiro.au : 7090",https://data.csiro.au/dap/ws/v2/collections,https://data.csiro.au/dap/swagger-ui.html#/,z39.50,—,"CSIRO Data Access Portal. REST API v2 for searching collections, metadata, and downloading data."
https://data.aad.gov.au/,—,national,—,Australia,"Australian Antarctic Data Centre",—,—,"Australia Government (national)",medium,—,—,—,—,—,—,—,—,—,—,—,—,—,http://data.aad.gov.au/aadc/metadata,https://data.aad.gov.au/,—,—,—,"AADC data store. Metadata accessible via CAASM. Provides WMS/WFS and OAI-PMH services."
https://www.abs.gov.au/,—,national,datasets,Australia,"Australian Bureau of Statistics",—,—,"Australia Government (national)",huge,—,—,—,—,—,—,—,—,—,—,—,—,yes,https://abs.gov.au/servlet/TSSearchServlet?,—,—,"web api",—,"Provides SDMX API, Data API, Indicator API, Time Series Directory API."
https://www.ipaustralia.gov.au/,—,national,—,Australia,"Australian intellectual property (IP)",—,—,"Australia Government (national)",large,—,—,—,—,—,—,—,—,—,—,—,—,yes,https://portal.api.ipaustralia.gov.au/,https://ipfirstresponse.ipaustralia.gov.au/options-data-feed,—,"mulesoft anypoint",—,"IP Australia APIs for patents, trademarks, designs. REST APIs via MuleSoft. Data feed available."
https://www.ausstage.edu.au/,—,national,—,Australia,"Australian Live Performance Database",—,—,"Australia Government (national)",small,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"AusStage database: >370,000 live events records. No public API identified."
https://australian.museum/,—,national,—,Australia,"Australian Museum",—,—,"Australia Government (national)",huge,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: >22 million objects. No public API identified (data accessible via Atlas of Living Australia)."
https://data.gov.au/,—,national,—,Australia,"Australian open government data",—,—,"Australia Government (national)",medium,—,—,—,—,—,—,—,—,—,—,—,—,—,https://data.gov.au/data/api/3/action,—,—,"web api",—,"CKAN API for Australian government open data."
https://libguides.csiro.au/,—,academic,—,Australia,"Commonwealth Scientific and Industrial Research Organisation (CSIRO)",—,—,"Commonwealth Scientific and Industrial Research Organisation (CSIRO) (public university)",small,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"CSIRO Library Services: 50,000+ e-journals, 300,000 e-books, 15 km print. No public API."
https://www.legislation.gov.au/,—,national,—,Australia,"Federal Register of Legislation",—,—,"Australian Government (Office of Parliamentary Counsel)",small,"not publicly available",—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Official OData API available."
